"fltdate","Origin","n"
"1",2008-01-01,"BWI",270
"2",2008-01-01,"DCA",196
"3",2008-01-01,"IAD",216
"4",2008-01-02,"BWI",311
"5",2008-01-02,"DCA",232
"6",2008-01-02,"IAD",229
"7",2008-01-03,"BWI",311
"8",2008-01-03,"DCA",239
"9",2008-01-03,"IAD",231
"10",2008-01-04,"BWI",310
"11",2008-01-04,"DCA",239
"12",2008-01-04,"IAD",232
"13",2008-01-05,"BWI",261
"14",2008-01-05,"DCA",168
"15",2008-01-05,"IAD",218
"16",2008-01-06,"BWI",289
"17",2008-01-06,"DCA",210
"18",2008-01-06,"IAD",231
"19",2008-01-07,"BWI",304
"20",2008-01-07,"DCA",260
"21",2008-01-07,"IAD",227
"22",2008-01-08,"BWI",290
"23",2008-01-08,"DCA",259
"24",2008-01-08,"IAD",220
"25",2008-01-09,"BWI",294
"26",2008-01-09,"DCA",260
"27",2008-01-09,"IAD",219
"28",2008-01-10,"BWI",300
"29",2008-01-10,"DCA",260
"30",2008-01-10,"IAD",222
"31",2008-01-11,"BWI",300
"32",2008-01-11,"DCA",260
"33",2008-01-11,"IAD",224
"34",2008-01-12,"BWI",246
"35",2008-01-12,"DCA",158
"36",2008-01-12,"IAD",202
"37",2008-01-13,"BWI",264
"38",2008-01-13,"DCA",210
"39",2008-01-13,"IAD",212
"40",2008-01-14,"BWI",298
"41",2008-01-14,"DCA",259
"42",2008-01-14,"IAD",221
"43",2008-01-15,"BWI",291
"44",2008-01-15,"DCA",259
"45",2008-01-15,"IAD",218
"46",2008-01-16,"BWI",294
"47",2008-01-16,"DCA",260
"48",2008-01-16,"IAD",215
"49",2008-01-17,"BWI",300
"50",2008-01-17,"DCA",260
"51",2008-01-17,"IAD",223
"52",2008-01-18,"BWI",300
"53",2008-01-18,"DCA",260
"54",2008-01-18,"IAD",224
"55",2008-01-19,"BWI",229
"56",2008-01-19,"DCA",157
"57",2008-01-19,"IAD",202
"58",2008-01-20,"BWI",263
"59",2008-01-20,"DCA",205
"60",2008-01-20,"IAD",210
"61",2008-01-21,"BWI",298
"62",2008-01-21,"DCA",250
"63",2008-01-21,"IAD",222
"64",2008-01-22,"BWI",291
"65",2008-01-22,"DCA",259
"66",2008-01-22,"IAD",218
"67",2008-01-23,"BWI",294
"68",2008-01-23,"DCA",260
"69",2008-01-23,"IAD",216
"70",2008-01-24,"BWI",300
"71",2008-01-24,"DCA",260
"72",2008-01-24,"IAD",222
"73",2008-01-25,"BWI",300
"74",2008-01-25,"DCA",260
"75",2008-01-25,"IAD",223
"76",2008-01-26,"BWI",229
"77",2008-01-26,"DCA",158
"78",2008-01-26,"IAD",202
"79",2008-01-27,"BWI",264
"80",2008-01-27,"DCA",208
"81",2008-01-27,"IAD",211
"82",2008-01-28,"BWI",298
"83",2008-01-28,"DCA",259
"84",2008-01-28,"IAD",221
"85",2008-01-29,"BWI",291
"86",2008-01-29,"DCA",259
"87",2008-01-29,"IAD",218
"88",2008-01-30,"BWI",294
"89",2008-01-30,"DCA",260
"90",2008-01-30,"IAD",216
"91",2008-01-31,"BWI",299
"92",2008-01-31,"DCA",260
"93",2008-01-31,"IAD",221
"94",2008-02-01,"BWI",299
"95",2008-02-01,"DCA",260
"96",2008-02-01,"IAD",224
"97",2008-02-02,"BWI",228
"98",2008-02-02,"DCA",154
"99",2008-02-02,"IAD",202
"100",2008-02-03,"BWI",263
"101",2008-02-03,"DCA",209
"102",2008-02-03,"IAD",211
"103",2008-02-04,"BWI",296
"104",2008-02-04,"DCA",260
"105",2008-02-04,"IAD",222
"106",2008-02-05,"BWI",288
"107",2008-02-05,"DCA",259
"108",2008-02-05,"IAD",215
"109",2008-02-06,"BWI",290
"110",2008-02-06,"DCA",259
"111",2008-02-06,"IAD",216
"112",2008-02-07,"BWI",295
"113",2008-02-07,"DCA",260
"114",2008-02-07,"IAD",222
"115",2008-02-08,"BWI",296
"116",2008-02-08,"DCA",260
"117",2008-02-08,"IAD",224
"118",2008-02-09,"BWI",225
"119",2008-02-09,"DCA",154
"120",2008-02-09,"IAD",202
"121",2008-02-10,"BWI",261
"122",2008-02-10,"DCA",209
"123",2008-02-10,"IAD",212
"124",2008-02-11,"BWI",295
"125",2008-02-11,"DCA",260
"126",2008-02-11,"IAD",222
"127",2008-02-12,"BWI",288
"128",2008-02-12,"DCA",259
"129",2008-02-12,"IAD",216
"130",2008-02-13,"BWI",293
"131",2008-02-13,"DCA",259
"132",2008-02-13,"IAD",221
"133",2008-02-14,"BWI",301
"134",2008-02-14,"DCA",265
"135",2008-02-14,"IAD",230
"136",2008-02-15,"BWI",301
"137",2008-02-15,"DCA",265
"138",2008-02-15,"IAD",231
"139",2008-02-16,"BWI",235
"140",2008-02-16,"DCA",161
"141",2008-02-16,"IAD",204
"142",2008-02-17,"BWI",262
"143",2008-02-17,"DCA",201
"144",2008-02-17,"IAD",217
"145",2008-02-18,"BWI",299
"146",2008-02-18,"DCA",252
"147",2008-02-18,"IAD",229
"148",2008-02-19,"BWI",298
"149",2008-02-19,"DCA",264
"150",2008-02-19,"IAD",231
"151",2008-02-20,"BWI",301
"152",2008-02-20,"DCA",265
"153",2008-02-20,"IAD",227
"154",2008-02-21,"BWI",301
"155",2008-02-21,"DCA",265
"156",2008-02-21,"IAD",230
"157",2008-02-22,"BWI",301
"158",2008-02-22,"DCA",265
"159",2008-02-22,"IAD",229
"160",2008-02-23,"BWI",236
"161",2008-02-23,"DCA",163
"162",2008-02-23,"IAD",205
"163",2008-02-24,"BWI",266
"164",2008-02-24,"DCA",215
"165",2008-02-24,"IAD",221
"166",2008-02-25,"BWI",301
"167",2008-02-25,"DCA",265
"168",2008-02-25,"IAD",229
"169",2008-02-26,"BWI",297
"170",2008-02-26,"DCA",264
"171",2008-02-26,"IAD",230
"172",2008-02-27,"BWI",299
"173",2008-02-27,"DCA",265
"174",2008-02-27,"IAD",228
"175",2008-02-28,"BWI",301
"176",2008-02-28,"DCA",266
"177",2008-02-28,"IAD",231
"178",2008-02-29,"BWI",301
"179",2008-02-29,"DCA",265
"180",2008-02-29,"IAD",230
"181",2008-03-01,"BWI",237
"182",2008-03-01,"DCA",162
"183",2008-03-01,"IAD",208
"184",2008-03-02,"BWI",264
"185",2008-03-02,"DCA",213
"186",2008-03-02,"IAD",220
"187",2008-03-03,"BWI",298
"188",2008-03-03,"DCA",264
"189",2008-03-03,"IAD",227
"190",2008-03-04,"BWI",298
"191",2008-03-04,"DCA",262
"192",2008-03-04,"IAD",225
"193",2008-03-05,"BWI",299
"194",2008-03-05,"DCA",263
"195",2008-03-05,"IAD",226
"196",2008-03-06,"BWI",298
"197",2008-03-06,"DCA",264
"198",2008-03-06,"IAD",228
"199",2008-03-07,"BWI",299
"200",2008-03-07,"DCA",264
"201",2008-03-07,"IAD",229
"202",2008-03-08,"BWI",253
"203",2008-03-08,"DCA",161
"204",2008-03-08,"IAD",207
"205",2008-03-09,"BWI",278
"206",2008-03-09,"DCA",214
"207",2008-03-09,"IAD",220
"208",2008-03-10,"BWI",296
"209",2008-03-10,"DCA",263
"210",2008-03-10,"IAD",228
"211",2008-03-11,"BWI",296
"212",2008-03-11,"DCA",262
"213",2008-03-11,"IAD",226
"214",2008-03-12,"BWI",297
"215",2008-03-12,"DCA",263
"216",2008-03-12,"IAD",226
"217",2008-03-13,"BWI",299
"218",2008-03-13,"DCA",264
"219",2008-03-13,"IAD",228
"220",2008-03-14,"BWI",300
"221",2008-03-14,"DCA",264
"222",2008-03-14,"IAD",229
"223",2008-03-15,"BWI",251
"224",2008-03-15,"DCA",162
"225",2008-03-15,"IAD",209
"226",2008-03-16,"BWI",278
"227",2008-03-16,"DCA",214
"228",2008-03-16,"IAD",220
"229",2008-03-17,"BWI",296
"230",2008-03-17,"DCA",264
"231",2008-03-17,"IAD",228
"232",2008-03-18,"BWI",296
"233",2008-03-18,"DCA",262
"234",2008-03-18,"IAD",225
"235",2008-03-19,"BWI",297
"236",2008-03-19,"DCA",263
"237",2008-03-19,"IAD",225
"238",2008-03-20,"BWI",298
"239",2008-03-20,"DCA",264
"240",2008-03-20,"IAD",227
"241",2008-03-21,"BWI",299
"242",2008-03-21,"DCA",257
"243",2008-03-21,"IAD",229
"244",2008-03-22,"BWI",249
"245",2008-03-22,"DCA",161
"246",2008-03-22,"IAD",208
"247",2008-03-23,"BWI",277
"248",2008-03-23,"DCA",211
"249",2008-03-23,"IAD",220
"250",2008-03-24,"BWI",295
"251",2008-03-24,"DCA",264
"252",2008-03-24,"IAD",228
"253",2008-03-25,"BWI",295
"254",2008-03-25,"DCA",262
"255",2008-03-25,"IAD",225
"256",2008-03-26,"BWI",296
"257",2008-03-26,"DCA",263
"258",2008-03-26,"IAD",225
"259",2008-03-27,"BWI",298
"260",2008-03-27,"DCA",264
"261",2008-03-27,"IAD",227
"262",2008-03-28,"BWI",299
"263",2008-03-28,"DCA",264
"264",2008-03-28,"IAD",228
"265",2008-03-29,"BWI",251
"266",2008-03-29,"DCA",163
"267",2008-03-29,"IAD",206
"268",2008-03-30,"BWI",278
"269",2008-03-30,"DCA",213
"270",2008-03-30,"IAD",214
"271",2008-03-31,"BWI",295
"272",2008-03-31,"DCA",264
"273",2008-03-31,"IAD",221
"274",2008-04-01,"BWI",293
"275",2008-04-01,"DCA",263
"276",2008-04-01,"IAD",216
"277",2008-04-02,"BWI",296
"278",2008-04-02,"DCA",264
"279",2008-04-02,"IAD",212
"280",2008-04-03,"BWI",298
"281",2008-04-03,"DCA",264
"282",2008-04-03,"IAD",216
"283",2008-04-04,"BWI",299
"284",2008-04-04,"DCA",264
"285",2008-04-04,"IAD",215
"286",2008-04-05,"BWI",250
"287",2008-04-05,"DCA",161
"288",2008-04-05,"IAD",202
"289",2008-04-06,"BWI",278
"290",2008-04-06,"DCA",215
"291",2008-04-06,"IAD",213
"292",2008-04-07,"BWI",294
"293",2008-04-07,"DCA",264
"294",2008-04-07,"IAD",218
"295",2008-04-08,"BWI",293
"296",2008-04-08,"DCA",262
"297",2008-04-08,"IAD",214
"298",2008-04-09,"BWI",295
"299",2008-04-09,"DCA",266
"300",2008-04-09,"IAD",215
"301",2008-04-10,"BWI",297
"302",2008-04-10,"DCA",266
"303",2008-04-10,"IAD",218
"304",2008-04-11,"BWI",298
"305",2008-04-11,"DCA",266
"306",2008-04-11,"IAD",216
"307",2008-04-12,"BWI",249
"308",2008-04-12,"DCA",163
"309",2008-04-12,"IAD",205
"310",2008-04-13,"BWI",280
"311",2008-04-13,"DCA",223
"312",2008-04-13,"IAD",213
"313",2008-04-14,"BWI",293
"314",2008-04-14,"DCA",267
"315",2008-04-14,"IAD",218
"316",2008-04-15,"BWI",293
"317",2008-04-15,"DCA",262
"318",2008-04-15,"IAD",212
"319",2008-04-16,"BWI",295
"320",2008-04-16,"DCA",266
"321",2008-04-16,"IAD",215
"322",2008-04-17,"BWI",297
"323",2008-04-17,"DCA",266
"324",2008-04-17,"IAD",218
"325",2008-04-18,"BWI",298
"326",2008-04-18,"DCA",266
"327",2008-04-18,"IAD",217
"328",2008-04-19,"BWI",250
"329",2008-04-19,"DCA",164
"330",2008-04-19,"IAD",204
"331",2008-04-20,"BWI",279
"332",2008-04-20,"DCA",222
"333",2008-04-20,"IAD",212
"334",2008-04-21,"BWI",295
"335",2008-04-21,"DCA",267
"336",2008-04-21,"IAD",218
"337",2008-04-22,"BWI",293
"338",2008-04-22,"DCA",262
"339",2008-04-22,"IAD",214
"340",2008-04-23,"BWI",295
"341",2008-04-23,"DCA",266
"342",2008-04-23,"IAD",215
"343",2008-04-24,"BWI",297
"344",2008-04-24,"DCA",266
"345",2008-04-24,"IAD",214
"346",2008-04-25,"BWI",298
"347",2008-04-25,"DCA",266
"348",2008-04-25,"IAD",216
"349",2008-04-26,"BWI",250
"350",2008-04-26,"DCA",164
"351",2008-04-26,"IAD",198
"352",2008-04-27,"BWI",279
"353",2008-04-27,"DCA",222
"354",2008-04-27,"IAD",212
"355",2008-04-28,"BWI",295
"356",2008-04-28,"DCA",267
"357",2008-04-28,"IAD",215
"358",2008-04-29,"BWI",293
"359",2008-04-29,"DCA",262
"360",2008-04-29,"IAD",212
"361",2008-04-30,"BWI",295
"362",2008-04-30,"DCA",266
"363",2008-04-30,"IAD",215
"364",2008-05-01,"BWI",297
"365",2008-05-01,"DCA",266
"366",2008-05-01,"IAD",217
"367",2008-05-02,"BWI",300
"368",2008-05-02,"DCA",264
"369",2008-05-02,"IAD",219
"370",2008-05-03,"BWI",248
"371",2008-05-03,"DCA",163
"372",2008-05-03,"IAD",198
"373",2008-05-04,"BWI",280
"374",2008-05-04,"DCA",222
"375",2008-05-04,"IAD",210
"376",2008-05-05,"BWI",297
"377",2008-05-05,"DCA",265
"378",2008-05-05,"IAD",216
"379",2008-05-06,"BWI",302
"380",2008-05-06,"DCA",260
"381",2008-05-06,"IAD",209
"382",2008-05-07,"BWI",304
"383",2008-05-07,"DCA",264
"384",2008-05-07,"IAD",213
"385",2008-05-08,"BWI",307
"386",2008-05-08,"DCA",264
"387",2008-05-08,"IAD",217
"388",2008-05-09,"BWI",308
"389",2008-05-09,"DCA",264
"390",2008-05-09,"IAD",216
"391",2008-05-10,"BWI",265
"392",2008-05-10,"DCA",166
"393",2008-05-10,"IAD",195
"394",2008-05-11,"BWI",286
"395",2008-05-11,"DCA",223
"396",2008-05-11,"IAD",210
"397",2008-05-12,"BWI",301
"398",2008-05-12,"DCA",265
"399",2008-05-12,"IAD",215
"400",2008-05-13,"BWI",298
"401",2008-05-13,"DCA",260
"402",2008-05-13,"IAD",208
"403",2008-05-14,"BWI",300
"404",2008-05-14,"DCA",264
"405",2008-05-14,"IAD",213
"406",2008-05-15,"BWI",301
"407",2008-05-15,"DCA",264
"408",2008-05-15,"IAD",216
"409",2008-05-16,"BWI",302
"410",2008-05-16,"DCA",264
"411",2008-05-16,"IAD",216
"412",2008-05-17,"BWI",266
"413",2008-05-17,"DCA",166
"414",2008-05-17,"IAD",194
"415",2008-05-18,"BWI",286
"416",2008-05-18,"DCA",223
"417",2008-05-18,"IAD",209
"418",2008-05-19,"BWI",301
"419",2008-05-19,"DCA",265
"420",2008-05-19,"IAD",214
"421",2008-05-20,"BWI",297
"422",2008-05-20,"DCA",260
"423",2008-05-20,"IAD",207
"424",2008-05-21,"BWI",300
"425",2008-05-21,"DCA",264
"426",2008-05-21,"IAD",214
"427",2008-05-22,"BWI",301
"428",2008-05-22,"DCA",264
"429",2008-05-22,"IAD",218
"430",2008-05-23,"BWI",302
"431",2008-05-23,"DCA",264
"432",2008-05-23,"IAD",218
"433",2008-05-24,"BWI",254
"434",2008-05-24,"DCA",166
"435",2008-05-24,"IAD",197
"436",2008-05-25,"BWI",235
"437",2008-05-25,"DCA",166
"438",2008-05-25,"IAD",188
"439",2008-05-26,"BWI",278
"440",2008-05-26,"DCA",235
"441",2008-05-26,"IAD",211
"442",2008-05-27,"BWI",299
"443",2008-05-27,"DCA",264
"444",2008-05-27,"IAD",215
"445",2008-05-28,"BWI",300
"446",2008-05-28,"DCA",264
"447",2008-05-28,"IAD",215
"448",2008-05-29,"BWI",300
"449",2008-05-29,"DCA",264
"450",2008-05-29,"IAD",217
"451",2008-05-30,"BWI",302
"452",2008-05-30,"DCA",264
"453",2008-05-30,"IAD",217
"454",2008-05-31,"BWI",267
"455",2008-05-31,"DCA",166
"456",2008-05-31,"IAD",198
"457",2008-06-01,"BWI",289
"458",2008-06-01,"DCA",219
"459",2008-06-01,"IAD",212
"460",2008-06-02,"BWI",306
"461",2008-06-02,"DCA",261
"462",2008-06-02,"IAD",215
"463",2008-06-03,"BWI",303
"464",2008-06-03,"DCA",256
"465",2008-06-03,"IAD",212
"466",2008-06-04,"BWI",306
"467",2008-06-04,"DCA",259
"468",2008-06-04,"IAD",220
"469",2008-06-05,"BWI",306
"470",2008-06-05,"DCA",260
"471",2008-06-05,"IAD",220
"472",2008-06-06,"BWI",306
"473",2008-06-06,"DCA",260
"474",2008-06-06,"IAD",219
"475",2008-06-07,"BWI",272
"476",2008-06-07,"DCA",173
"477",2008-06-07,"IAD",207
"478",2008-06-08,"BWI",292
"479",2008-06-08,"DCA",224
"480",2008-06-08,"IAD",216
"481",2008-06-09,"BWI",304
"482",2008-06-09,"DCA",262
"483",2008-06-09,"IAD",218
"484",2008-06-10,"BWI",305
"485",2008-06-10,"DCA",260
"486",2008-06-10,"IAD",217
"487",2008-06-11,"BWI",306
"488",2008-06-11,"DCA",260
"489",2008-06-11,"IAD",218
"490",2008-06-12,"BWI",305
"491",2008-06-12,"DCA",259
"492",2008-06-12,"IAD",220
"493",2008-06-13,"BWI",307
"494",2008-06-13,"DCA",260
"495",2008-06-13,"IAD",219
"496",2008-06-14,"BWI",274
"497",2008-06-14,"DCA",175
"498",2008-06-14,"IAD",209
"499",2008-06-15,"BWI",294
"500",2008-06-15,"DCA",226
"501",2008-06-15,"IAD",218
"502",2008-06-16,"BWI",305
"503",2008-06-16,"DCA",262
"504",2008-06-16,"IAD",218
"505",2008-06-17,"BWI",306
"506",2008-06-17,"DCA",260
"507",2008-06-17,"IAD",217
"508",2008-06-18,"BWI",307
"509",2008-06-18,"DCA",260
"510",2008-06-18,"IAD",217
"511",2008-06-19,"BWI",305
"512",2008-06-19,"DCA",260
"513",2008-06-19,"IAD",220
"514",2008-06-20,"BWI",307
"515",2008-06-20,"DCA",260
"516",2008-06-20,"IAD",220
"517",2008-06-21,"BWI",275
"518",2008-06-21,"DCA",175
"519",2008-06-21,"IAD",209
"520",2008-06-22,"BWI",298
"521",2008-06-22,"DCA",227
"522",2008-06-22,"IAD",218
"523",2008-06-23,"BWI",305
"524",2008-06-23,"DCA",262
"525",2008-06-23,"IAD",219
"526",2008-06-24,"BWI",306
"527",2008-06-24,"DCA",260
"528",2008-06-24,"IAD",218
"529",2008-06-25,"BWI",306
"530",2008-06-25,"DCA",260
"531",2008-06-25,"IAD",219
"532",2008-06-26,"BWI",307
"533",2008-06-26,"DCA",260
"534",2008-06-26,"IAD",220
"535",2008-06-27,"BWI",308
"536",2008-06-27,"DCA",260
"537",2008-06-27,"IAD",220
"538",2008-06-28,"BWI",275
"539",2008-06-28,"DCA",175
"540",2008-06-28,"IAD",209
"541",2008-06-29,"BWI",297
"542",2008-06-29,"DCA",227
"543",2008-06-29,"IAD",218
"544",2008-06-30,"BWI",307
"545",2008-06-30,"DCA",262
"546",2008-06-30,"IAD",220
"547",2008-07-01,"BWI",308
"548",2008-07-01,"DCA",261
"549",2008-07-01,"IAD",222
"550",2008-07-02,"BWI",309
"551",2008-07-02,"DCA",262
"552",2008-07-02,"IAD",223
